L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV
47350,1581,6,0.0,492,10,504,10,19,19,19,857,857,788,254,255,84,40,84,118,2,84,1,4587,4699,20,0,0,0,0,16383,16383,30208,118,0,0,0,0,465,95,143,0,483,87,148
45546,41456,6,36.0,3614,60,50036,62,27,27,27,45,45,45,31,32,1352,52,1352,611,7,24598,23,628521,8701913,86,0,0,0,36,39096,14480,25344,99,0,0,0,0,7,0,1,0,7,0,1
25120,46677,6,0.0,176,4,0,0,2,2,0,20008,20008,0,254,255,44,44,44,0,0,0,0,70,0,4,0,0,0,0,24007,0,0,0,0,0,0,0,20008,6669,9431,0,0,0,0
55127,21,6,1.0,1095,9,534,8,17,17,17,311,311,247,254,255,353,40,353,463,2,187,2,28076,13692,22,2,2,0,0,16383,16383,52992,207,0,0,0,0,320,53,88,0,356,62,103
36036,55726,6,37.0,8928,14,320,6,27,27,19,528,528,527,31,32,1500,52,1500,4308,4,0,0,135017,4839,14,0,0,0,6,5792,10136,54272,212,0,0,0,0,329,40,98,0,330,105,135
59457,53,17,5.0,146,2,178,2,0,0,0,1,0,0,31,31,89,73,89,0,0,0,0,584000,712000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
52012,860,6,0.0,966,6,80,2,18,18,18,780,780,0,62,63,403,40,403,443,2,0,0,9895,819,6,0,2,0,0,27493,26676,47872,187,0,0,0,0,682,155,265,0,0,0,0
40789,80,6,7.0,1198,10,256,6,19,19,19,191,184,185,254,255,423,40,423,471,2,0,0,49916,10666,14,0,2,0,0,16383,16383,55040,215,0,0,0,0,61,20,26,0,156,37,60
13320,21,6,1.0,493,11,11704,11,24,24,16,1655,1535,1483,62,63,1064,45,1064,242,5,5320,5,2381,56541,20,0,0,0,11,16383,16383,61952,242,0,0,200,0,423,130,151,0,542,144,163
34159,41561,17,11.0,544,4,304,4,0,0,0,1,1,0,31,32,156,52,156,0,0,0,0,2176000,1216000,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
