reference_model,attribution_scale,sample_id,feature_name,reference_absolute_rank,reference_signed_attribution,reference_absolute_attribution,reference_is_top_five
logistic_regression,DoS log-odds,pilot_001,MAX_TTL,1,1.24753516442,1.24753516442,True
logistic_regression,DoS log-odds,pilot_001,MIN_TTL,2,1.24572426524,1.24572426524,True
logistic_regression,DoS log-odds,pilot_001,SERVER_TCP_FLAGS,3,1.06974816291,1.06974816291,True
logistic_regression,DoS log-odds,pilot_001,MIN_IP_PKT_LEN,4,0.313005610342,0.313005610342,True
logistic_regression,DoS log-odds,pilot_001,DST_TO_SRC_AVG_THROUGHPUT,5,0.266757780025,0.266757780025,True
logistic_regression,DoS log-odds,pilot_001,DST_TO_SRC_IAT_AVG,6,0.265946759429,0.265946759429,False
logistic_regression,DoS log-odds,pilot_001,PROTOCOL,7,0.160254337263,0.160254337263,False
logistic_regression,DoS log-odds,pilot_001,TCP_FLAGS,8,0.153522978217,0.153522978217,False
logistic_regression,DoS log-odds,pilot_001,DST_TO_SRC_IAT_STDDEV,9,0.147579862416,0.147579862416,False
logistic_regression,DoS log-odds,pilot_001,FTP_COMMAND_RET_CODE,10,0.131849914707,0.131849914707,False
logistic_regression,DoS log-odds,pilot_001,LONGEST_FLOW_PKT,11,0.122807272371,0.122807272371,False
logistic_regression,DoS log-odds,pilot_001,MAX_IP_PKT_LEN,12,0.122807272371,0.122807272371,False
logistic_regression,DoS log-odds,pilot_001,L7_PROTO,13,0.122190008516,0.122190008516,False
logistic_regression,DoS log-odds,pilot_001,DNS_QUERY_TYPE,14,0.100407717627,0.100407717627,False
logistic_regression,DoS log-odds,pilot_001,SRC_TO_DST_AVG_THROUGHPUT,15,0.0831106078146,0.0831106078146,False
logistic_regression,DoS log-odds,pilot_001,TCP_WIN_MAX_OUT,16,0.0830706678531,0.0830706678531,False
logistic_regression,DoS log-odds,pilot_001,CLIENT_TCP_FLAGS,17,0.061273701552,0.061273701552,False
logistic_regression,DoS log-odds,pilot_001,NUM_PKTS_UP_TO_128_BYTES,18,0.0458505930231,0.0458505930231,False
logistic_regression,DoS log-odds,pilot_001,DST_TO_SRC_IAT_MAX,19,-0.0428074247927,0.0428074247927,False
logistic_regression,DoS log-odds,pilot_001,SHORTEST_FLOW_PKT,20,-0.0398297679888,0.0398297679888,False
logistic_regression,DoS log-odds,pilot_001,IN_PKTS,21,0.0292119690493,0.0292119690493,False
logistic_regression,DoS log-odds,pilot_001,DNS_TTL_ANSWER,22,0.0235849939136,0.0235849939136,False
logistic_regression,DoS log-odds,pilot_001,RETRANSMITTED_IN_PKTS,23,0.0214073413729,0.0214073413729,False
logistic_regression,DoS log-odds,pilot_001,TCP_WIN_MAX_IN,24,-0.0187545374308,0.0187545374308,False
logistic_regression,DoS log-odds,pilot_001,NUM_PKTS_128_TO_256_BYTES,25,-0.0136063133124,0.0136063133124,False
logistic_regression,DoS log-odds,pilot_001,NUM_PKTS_256_TO_512_BYTES,26,-0.0130381235432,0.0130381235432,False
logistic_regression,DoS log-odds,pilot_001,NUM_PKTS_1024_TO_1514_BYTES,27,-0.00911223526374,0.00911223526374,False
logistic_regression,DoS log-odds,pilot_001,NUM_PKTS_512_TO_1024_BYTES,28,0.00888321501475,0.00888321501475,False
logistic_regression,DoS log-odds,pilot_001,RETRANSMITTED_OUT_BYTES,29,-0.00797616950889,0.00797616950889,False
logistic_regression,DoS log-odds,pilot_001,OUT_BYTES,30,-0.00793439270206,0.00793439270206,False
logistic_regression,DoS log-odds,pilot_001,FLOW_DURATION_MILLISECONDS,31,-0.0075627034041,0.0075627034041,False
logistic_regression,DoS log-odds,pilot_001,RETRANSMITTED_OUT_PKTS,32,-0.00716344909485,0.00716344909485,False
logistic_regression,DoS log-odds,pilot_001,ICMP_TYPE,33,0.00679183316486,0.00679183316486,False
logistic_regression,DoS log-odds,pilot_001,ICMP_IPV4_TYPE,34,0.00679183316486,0.00679183316486,False
logistic_regression,DoS log-odds,pilot_001,DURATION_IN,35,-0.00666535297137,0.00666535297137,False
