record_index,sample_id,model_profile_id,condition,true_label,predicted_label,citation_position,feature_name,cited_observed_value,source_observed_value,feature_name_present,feature_in_locked_primary_46,observed_value_matches_source,reference_absolute_rank,reference_signed_attribution,reference_absolute_attribution,reference_model,attribution_scale,reference_is_top_five,reference_top_five_absolute_component,citation_matches_reference_top_five
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,1,TCP_FLAGS,19,19,True,True,True,8,0.153522978217,0.153522978217,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,2,IN_PKTS,10,10,True,True,True,21,0.0292119690493,0.0292119690493,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,3,OUT_PKTS,10,10,True,True,True,36,-0.0053049090884,0.0053049090884,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,4,SRC_TO_DST_AVG_THROUGHPUT,4587,4587,True,True,True,15,0.0831106078146,0.0831106078146,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,5,FLOW_DURATION_MILLISECONDS,857,857,True,True,True,31,-0.0075627034041,0.0075627034041,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,1,TCP_FLAGS,19,19,True,True,True,9,0.015961914754,0.015961914754,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,2,IN_PKTS,10,10,True,True,True,27,0.0041169810799,0.0041169810799,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,3,OUT_PKTS,10,10,True,True,True,20,0.00730948147678,0.00730948147678,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,4,SRC_TO_DST_AVG_THROUGHPUT,4587,4587,True,True,True,14,0.0103264216906,0.0103264216906,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,5,FLOW_DURATION_MILLISECONDS,857,857,True,True,True,16,0.00925146252541,0.00925146252541,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,1,IN_PKTS,10,10,True,True,True,21,0.0292119690493,0.0292119690493,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,2,TCP_FLAGS,19,19,True,True,True,8,0.153522978217,0.153522978217,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,3,FLOW_DURATION_MILLISECONDS,857,857,True,True,True,31,-0.0075627034041,0.0075627034041,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,4,IN_BYTES,492,492,True,True,True,40,-0.00120662314543,0.00120662314543,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,5,L4_SRC_PORT,47350,47350,True,True,True,43,0,0,logistic_regression,DoS log-odds,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,1,IN_PKTS,10,10,True,True,True,27,0.0041169810799,0.0041169810799,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,2,TCP_FLAGS,19,19,True,True,True,9,0.015961914754,0.015961914754,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,3,FLOW_DURATION_MILLISECONDS,857,857,True,True,True,16,0.00925146252541,0.00925146252541,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,4,IN_BYTES,492,492,True,True,True,31,0.0024941297823,0.0024941297823,random_forest,DoS probability,False,0,False
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,5,L4_SRC_PORT,47350,47350,True,True,True,35,0.00181741236009,0.00181741236009,random_forest,DoS probability,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,1,TCP_FLAGS,27,27,True,True,True,42,-0.00033162181439,0.00033162181439,logistic_regression,DoS log-odds,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,2,PROTOCOL,6,6,True,True,True,11,0.149038899244,0.149038899244,logistic_regression,DoS log-odds,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,3,L4_DST_PORT,41456,41456,True,True,True,44,0,0,logistic_regression,DoS log-odds,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,4,RETRANSMITTED_OUT_PKTS,23,23,True,True,True,38,-0.0032185787847,0.0032185787847,logistic_regression,DoS log-odds,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,5,FLOW_DURATION_MILLISECONDS,45,45,True,True,True,23,-0.0237045220529,0.0237045220529,logistic_regression,DoS log-odds,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,1,TCP_FLAGS,27,27,True,True,True,15,-0.010611128902,0.010611128902,random_forest,DoS probability,False,0,False
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,2,PROTOCOL,6,6,True,True,True,43,0.000170553501069,0.000170553501069,random_forest,DoS probability,False,0,False
