record_index,sample_id,model_profile_id,condition,true_label,predicted_label,reference_model,attribution_scale,citation_count,distinct_cited_feature_count,top_five_overlap_count,cited_absolute_attribution_sum,mean_cited_reference_rank,best_cited_reference_rank,worst_cited_reference_rank,cited_features,reference_total_absolute_attribution,reference_top_five_absolute_attribution,reference_top_five_features,top_five_overlap_fraction,top_five_jaccard,attribution_mass_coverage,relative_to_reference_top_five_mass
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,logistic_regression,DoS log-odds,5,5,0,0.278713167574,22.2,8,36,"('TCP_FLAGS', 'IN_PKTS', 'OUT_PKTS', 'SRC_TO_DST_AVG_THROUGHPUT', 'FLOW_DURATION_MILLISECONDS')",6.02898653355,4.14277098294,"('MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'MIN_IP_PKT_LEN', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.0462288588675,0.0672769913474
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,logistic_regression,DoS log-odds,5,5,0,0.191504273816,28.6,8,43,"('IN_PKTS', 'TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS', 'IN_BYTES', 'L4_SRC_PORT')",6.02898653355,4.14277098294,"('MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'MIN_IP_PKT_LEN', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.0317639246249,0.0462261309169
0,pilot_001,29dd49612fe1b4b0,deterministic_text,DoS,Benign,random_forest,DoS probability,5,5,0,0.0469662615267,17.2,9,27,"('TCP_FLAGS', 'IN_PKTS', 'OUT_PKTS', 'SRC_TO_DST_AVG_THROUGHPUT', 'FLOW_DURATION_MILLISECONDS')",0.506447555172,0.236108177955,"('MAX_TTL', 'MIN_IP_PKT_LEN', 'SHORTEST_FLOW_PKT', 'MIN_TTL', 'SERVER_TCP_FLAGS')",0,0,0.0927366734167,0.198918402291
0,pilot_001,29dd49612fe1b4b0,structured,DoS,Benign,random_forest,DoS probability,5,5,0,0.0336419005017,23.6,9,35,"('IN_PKTS', 'TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS', 'IN_BYTES', 'L4_SRC_PORT')",0.506447555172,0.236108177955,"('MAX_TTL', 'MIN_IP_PKT_LEN', 'SHORTEST_FLOW_PKT', 'MIN_TTL', 'SERVER_TCP_FLAGS')",0,0,0.0664272147394,0.142485113362
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.176293621896,31.6,11,44,"('TCP_FLAGS', 'PROTOCOL', 'L4_DST_PORT', 'RETRANSMITTED_OUT_PKTS', 'FLOW_DURATION_MILLISECONDS')",7.00743966885,4.47587747591,"('DST_TO_SRC_AVG_THROUGHPUT', 'SERVER_TCP_FLAGS', 'MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL')",0,0,0.0251580648892,0.0393874995115
1,pilot_002,d69873ea9c5c44d5,structured,Benign,Benign,logistic_regression,DoS log-odds,5,5,2,1.76472986712,21.8,2,42,"('TCP_FLAGS', 'SERVER_TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS', 'MIN_TTL', 'RETRANSMITTED_OUT_PKTS')",7.00743966885,4.47587747591,"('DST_TO_SRC_AVG_THROUGHPUT', 'SERVER_TCP_FLAGS', 'MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL')",0.4,0.25,0.251836612303,0.394275731769
1,pilot_002,d69873ea9c5c44d5,deterministic_text,Benign,Benign,random_forest,DoS probability,5,5,0,0.0383559932397,22.6,11,43,"('TCP_FLAGS', 'PROTOCOL', 'L4_DST_PORT', 'RETRANSMITTED_OUT_PKTS', 'FLOW_DURATION_MILLISECONDS')",0.506985798285,0.22913229641,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'SHORTEST_FLOW_PKT')",0,0,0.0756549658186,0.167396712907
1,pilot_002,d69873ea9c5c44d5,structured,Benign,Benign,random_forest,DoS probability,5,5,2,0.124468219494,9.2,3,15,"('TCP_FLAGS', 'SERVER_TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS', 'MIN_TTL', 'RETRANSMITTED_OUT_PKTS')",0.506985798285,0.22913229641,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'SHORTEST_FLOW_PKT')",0.4,0.25,0.245506323677,0.543215519784
2,pilot_003,f5cd86e2235ab5b3,deterministic_text,DoS,DoS,logistic_regression,DoS log-odds,5,5,0,0.0912261497484,34.8,25,44,"('TCP_FLAGS', 'L4_DST_PORT', 'OUT_PKTS', 'SHORTEST_FLOW_PKT', 'IN_PKTS')",23.786914729,19.972715781,"('SRC_TO_DST_IAT_AVG', 'MIN_IP_PKT_LEN', 'SRC_TO_DST_IAT_STDDEV', 'MAX_TTL', 'MIN_TTL')",0,0,0.00383514006704,0.00456753857355
2,pilot_003,f5cd86e2235ab5b3,structured,DoS,DoS,logistic_regression,DoS log-odds,5,5,0,0.570820433281,30.6,6,44,"('TCP_FLAGS', 'OUT_PKTS', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'L4_DST_PORT')",23.786914729,19.972715781,"('SRC_TO_DST_IAT_AVG', 'MIN_IP_PKT_LEN', 'SRC_TO_DST_IAT_STDDEV', 'MAX_TTL', 'MIN_TTL')",0,0,0.0239972455354,0.0285800108277
2,pilot_003,f5cd86e2235ab5b3,deterministic_text,DoS,DoS,random_forest,DoS probability,5,5,1,0.0667490173313,18.6,4,38,"('TCP_FLAGS', 'L4_DST_PORT', 'OUT_PKTS', 'SHORTEST_FLOW_PKT', 'IN_PKTS')",0.50739964467,0.246115717634,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'DST_TO_SRC_AVG_THROUGHPUT')",0.2,0.111111111111,0.131551170822,0.271209892537
2,pilot_003,f5cd86e2235ab5b3,structured,DoS,DoS,random_forest,DoS probability,5,5,0,0.0396249679746,22.4,7,38,"('TCP_FLAGS', 'OUT_PKTS', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'L4_DST_PORT')",0.50739964467,0.246115717634,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.078094197327,0.161001371044
3,pilot_004,b8ba16aed4998c8f,deterministic_text,DoS,Benign,logistic_regression,DoS log-odds,5,5,0,0.27142159718,22.2,7,41,"('IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_FLAGS', 'L4_DST_PORT', 'IN_BYTES')",4.98552698023,3.47381224346,"('MAX_TTL', 'MIN_TTL', 'DST_TO_SRC_IAT_AVG', 'DST_TO_SRC_AVG_THROUGHPUT', 'L7_PROTO')",0,0,0.0544419071959,0.0781336405534
3,pilot_004,b8ba16aed4998c8f,structured,DoS,Benign,logistic_regression,DoS log-odds,5,5,0,0.27142159718,22.2,7,41,"('IN_PKTS', 'TCP_FLAGS', 'IN_BYTES', 'FLOW_DURATION_MILLISECONDS', 'L4_DST_PORT')",4.98552698023,3.47381224346,"('MAX_TTL', 'MIN_TTL', 'DST_TO_SRC_IAT_AVG', 'DST_TO_SRC_AVG_THROUGHPUT', 'L7_PROTO')",0,0,0.0544419071959,0.0781336405534
3,pilot_004,b8ba16aed4998c8f,deterministic_text,DoS,Benign,random_forest,DoS probability,5,5,0,0.0371974822873,17.8,10,28,"('IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_FLAGS', 'L4_DST_PORT', 'IN_BYTES')",0.458566311039,0.228376768622,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.0811169102307,0.162877697726
3,pilot_004,b8ba16aed4998c8f,structured,DoS,Benign,random_forest,DoS probability,5,5,0,0.0371974822873,17.8,10,28,"('IN_PKTS', 'TCP_FLAGS', 'IN_BYTES', 'FLOW_DURATION_MILLISECONDS', 'L4_DST_PORT')",0.458566311039,0.228376768622,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.0811169102307,0.162877697726
4,pilot_005,63c8049f8fe1fdd8,deterministic_text,Benign,DoS,logistic_regression,DoS log-odds,5,5,2,1.53993837349,16.4,3,31,"('RETRANSMITTED_IN_PKTS', 'L7_PROTO', 'FLOW_DURATION_MILLISECONDS', 'SRC_TO_DST_AVG_THROUGHPUT', 'MIN_TTL')",6.7949303845,4.20289582663,"('SERVER_TCP_FLAGS', 'MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'L7_PROTO')",0.4,0.25,0.226630485723,0.366399367726
4,pilot_005,63c8049f8fe1fdd8,structured,Benign,Benign,logistic_regression,DoS log-odds,5,5,1,0.86106647386,21.8,3,41,"('IN_PKTS', 'IN_BYTES', 'SRC_TO_DST_AVG_THROUGHPUT', 'FLOW_DURATION_MILLISECONDS', 'MIN_TTL')",6.7949303845,4.20289582663,"('SERVER_TCP_FLAGS', 'MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'L7_PROTO')",0.2,0.111111111111,0.126721897817,0.204874569673
